Power before,fibr,r,,STD of power
1.419786,3.939198,,,
1.414809,3.93226,,,
1.414979,3.932055,,,
1.410623,3.936021,,,
1.41603,3.939136,,,
1.417463,3.936182,,,
1.416749,3.940276,,,
1.416085,3.94355,,,
1.41119,3.933819,,,
1.413773,3.928536,,,
1.416059,3.939763,,,
1.412636,3.947059,,,
1.411955,3.946847,,,
1.415311,3.956327,,,
1.418663,3.943347,,,
1.41304,3.955196,,,
1.419703,3.951239,,,
1.411086,3.94804,,,
1.410064,3.939373,,,
1.416012,3.938477,,,
1.415472,3.945125,,,
1.41305,3.95006,,,
1.407053,3.962687,,,
1.408402,3.963806,,,
1.40742,3.968796,,,
1.412857,3.965089,,,
1.41319,3.96579,,,
1.409182,3.961007,,,
1.416268,3.962428,,,
1.40923,3.969264,,,
1.412605,3.967389,,,
1.412005,3.968702,,,
1.409463,3.969033,,,
1.407653,3.968272,,,
1.410275,3.969928,,,
1.41338,3.967401,,,
1.411018,3.963317,,,
1.407817,3.98433,,,
1.412618,3.987788,,,
1.410356,3.991023,,,
1.414484,3.991662,,,
1.418642,3.981444,,,
1.414282,3.973435,,,
1.413818,3.9673,,,
1.409008,3.973165,,,
1.410193,3.97147,,,
1.414128,3.973868,,,
1.414551,3.972554,,,
1.416227,3.973263,,,
1.414384,3.974514,,,
1.412337,3.974109,,,
1.413581,3.980148,,,
1.41256,3.999445,,,
1.414481,3.989415,,,
1.41629,3.990139,,,
1.413632,3.987113,,,
1.41548,3.993852,,,
1.414119,3.995154,,,
1.40794,3.998761,,,
1.411125,3.999338,,,
1.413814,4.005504,,,
1.414261,4.007143,,,
1.415568,4.007617,,,
1.419131,4.001478,,,
1.413173,4.00387,,,
1.410207,4.015566,,,
1.413913,4.011363,,,
1.416564,4.006956,,,
1.419429,4.023912,,,
1.416667,4.015976,,,
1.415243,4.042312,,,
1.41165,4.02582,,,
1.410461,4.020441,,,
1.413006,4.024664,,,
1.414227,4.034343,,,
1.415402,4.038028,,,
1.415508,4.04749,,,
1.408931,4.04398,,,
1.415223,4.043544,,,
1.413859,4.042325,,,
1.410098,4.042971,,,
1.410439,4.031824,,,
1.412363,4.031503,,,
1.410483,4.03944,,,
1.411222,4.03739,,,
1.411334,4.03838,,,
1.413248,4.038857,,,
1.416533,4.038068,,,
1.416709,4.041501,,,
1.414812,4.049426,,,
1.414276,4.047523,,,
1.414372,4.039022,,,
1.411084,4.043502,,,
1.4128,4.057405,,,
1.414944,4.056406,,,
1.421104,4.060989,,,
1.426577,4.060461,,,
1.421524,4.073048,,,
1.417239,4.060268,,,
1.41945,4.082008,,,
1.411685,4.070247,,,
1.412501,4.0722,,,
1.418877,4.078861,,,
1.417231,4.071665,,,
1.423887,4.090559,,,
1.42585,4.094757,,,
1.420264,4.091666,,,
1.418446,4.087602,,,
1.421219,4.086329,,,
1.422054,4.083066,,,
1.418473,4.07856,,,
1.412509,4.085818,,,
1.411494,4.092335,,,
1.413669,4.096726,,,
1.413615,4.093012,,,
1.41832,4.100731,,,
1.418654,4.10386,,,
1.416883,4.100938,,,
1.413756,4.10924,,,
1.411253,4.104288,,,
1.4071,4.111401,,,
1.416837,4.115997,,,
1.410273,4.122575,,,
1.415839,4.118838,,,
1.417248,4.123838,,,
1.415943,4.126086,,,
1.415622,4.116942,,,
1.416132,4.121936,,,
1.41944,4.127675,,,
1.421069,4.125739,,,
1.415176,4.114277,,,
1.41249,4.136338,,,
1.409733,4.137806,,,
1.41006,4.129567,,,
1.411523,4.126753,,,
1.419734,4.130365,,,
1.419718,4.1282,,,
1.417186,4.143423,,,
1.410845,4.156305,,,
1.415854,4.156412,,,
1.413944,4.153773,,,
1.415381,4.151962,,,
1.415418,4.14148,,,
1.414304,4.144609,,,
1.414062,4.147907,,,
1.410278,4.147061,,,
1.410593,4.153745,,,
1.409988,4.162778,,,
1.407551,4.167738,,,
1.407947,4.168544,,,
1.412889,4.172027,,,
1.414113,4.178644,,,
1.411266,4.173244,,,
1.409616,4.178265,,,
1.410062,4.174151,,,
1.411757,4.188568,,,
1.412736,4.204735,,,
1.413037,4.187977,,,
1.411618,4.196697,,,
1.411666,4.185286,,,
1.411242,4.184224,,,
1.414128,4.203311,,,
1.414063,4.194101,,,
1.413689,4.200926,,,
1.413004,4.202917,,,
1.411514,4.20279,,,
1.406419,4.206982,,,
1.40313,4.202096,,,
1.407735,4.203461,,,
1.409572,4.213796,,,
1.413849,4.214308,,,
1.415518,4.215844,,,
1.417699,4.214267,,,
1.414113,4.214593,,,
1.412641,4.218614,,,
1.411409,4.208508,,,
1.417993,4.206711,,,
1.415218,4.221408,,,
1.425837,4.222489,,,
1.417127,4.227737,,,
1.411854,4.229774,,,
1.414609,4.215962,,,
1.410615,4.223037,,,
1.413197,4.232247,,,
1.418944,4.224072,,,
1.416482,4.220011,,,
1.420635,4.244189,,,
1.415822,4.253525,,,
1.416907,4.244475,,,
1.413859,4.245496,,,
1.414817,4.247251,,,
1.413989,4.256987,,,
1.415166,4.256004,,,
1.416285,4.273613,,,
1.417104,4.267751,,,
1.421577,4.269568,,,
1.410234,4.266291,,,
1.415314,4.270072,,,
1.420016,4.278443,,,
1.418049,4.274638,,,
1.411909,4.283888,,,
1.411308,4.292167,,,
1.413181,4.293455,,,
1.415768,4.296501,,,
1.414743,4.30302,,,
1.415657,4.301202,,,
1.414594,4.293797,,,
1.413864,4.291469,,,
1.41324,4.287275,,,
1.410352,4.292429,,,
1.412172,4.301336,,,
1.411553,4.300312,,,
1.411941,4.303876,,,
1.413212,4.306893,,,
1.412762,4.313356,,,
1.40723,4.300593,,,
1.405883,4.309235,,,
1.408815,4.312796,,,
1.411236,4.31333,,,
1.412765,4.304727,,,
1.411816,4.307549,,,
1.411857,4.310584,,,
1.407672,4.318044,,,
1.408831,4.325452,,,
1.415605,4.328003,,,
1.413663,4.321474,,,
1.412394,4.321395,,,
1.410556,4.325962,,,
1.409343,4.322617,,,
1.415465,4.325359,,,
1.418706,4.330724,,,
1.415786,4.322504,,,
1.411792,4.326258,,,
1.410989,4.334435,,,
1.415262,4.333107,,,
1.410671,4.342058,,,
1.408384,4.336913,,,
1.406463,4.34919,,,
1.409997,4.350936,,,
1.414472,4.349957,,,
1.413033,4.347251,,,
1.413056,4.351088,,,
1.413581,4.348594,,,
1.410625,4.36069,,,
1.407571,4.361675,,,
1.410026,4.362469,,,
1.414057,4.35583,,,
1.41378,4.358545,,,
1.412273,4.357613,,,
1.407798,4.364694,,,
1.405722,4.371573,,,
1.412061,4.370258,,,
1.414072,4.371257,,,
1.4109,4.372038,,,
1.412779,4.37678,,,
1.412218,4.379002,,,
1.41506,4.391246,,,
1.413968,4.381515,,,
1.410153,4.379761,,,
1.412812,4.385011,,,
1.414019,4.38334,,,
1.417338,4.383439,,,
1.416086,4.383386,,,
1.415399,4.379942,,,
1.409573,4.390089,,,
1.411477,4.393555,,,
1.420292,4.391271,,,
1.412958,4.395189,,,
1.416732,4.400341,,,
1.4142,4.399553,,,
1.408607,4.399249,,,
1.408433,4.406039,,,
1.413387,4.406918,,,
1.409077,4.406493,,,
1.413648,4.40868,,,
1.409406,4.410603,,,
1.409576,4.417933,,,
1.412599,4.417335,,,
1.412851,4.421363,,,
1.410445,4.422269,,,
1.415793,4.418234,,,
1.416302,4.420619,,,
1.413491,4.429166,,,
1.412254,4.42807,,,
1.408841,4.428466,,,
1.410809,4.431405,,,
1.40856,4.431647,,,
1.411038,4.435045,,,
1.412336,4.432049,,,
1.415753,4.429817,,,
1.414095,4.434853,,,
1.41682,4.435389,,,
1.416847,4.471395,,,
1.412468,4.440788,,,
1.411857,4.436057,,,
1.413252,4.433263,,,
1.4143,4.442481,,,
1.410931,4.428557,,,
1.413006,4.455881,,,
1.413962,4.470889,,,
1.413945,4.443908,,,
1.413877,4.443467,,,
